name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Leonardo Stanzani,https://www.transfermarkt.com/leonardo-stanzani/profil/spieler/357987,Second Striker,24,Italy,,,25,1,0,1,€150k
Louie Marsh,https://www.transfermarkt.com/louie-marsh/profil/spieler/874043,Second Striker,19,England,,,3,1,0,1,€150k
Álex Oyón,https://www.transfermarkt.com/alex-oyon/profil/spieler/870139,Second Striker,21,Spain,,,6,1,0,1,€100k
Alessandro Piu,https://www.transfermarkt.com/alessandro-piu/profil/spieler/253857,Second Striker,27,Italy,,,21,1,0,1,€50k
Giuseppe Simone,https://www.transfermarkt.com/giuseppe-simone/profil/spieler/746892,Second Striker,20,Italy,,,20,1,0,1,€50k
Samuel Krismer,https://www.transfermarkt.com/samuel-krismer/profil/spieler/150960,Second Striker,30,Austria,,,18,1,0,1,-
Ondrej Chveja,https://www.transfermarkt.com/ondrej-chveja/profil/spieler/321179,Second Striker,25,Czech Republic,,,16,1,0,1,-
Lukas Hajek,https://www.transfermarkt.com/lukas-hajek/profil/spieler/580121,Second Striker,22,Czech Republic,,,16,1,0,1,-
Jakub Ptacek,https://www.transfermarkt.com/jakub-ptacek/profil/spieler/620021,Second Striker,31,Czech Republic,,,18,1,0,1,-
Cristo,https://www.transfermarkt.com/cristo/profil/spieler/339707,Second Striker,26,Spain,,,2,0,1,1,€5.00m
Beyatt Lekoueiry,https://www.transfermarkt.com/beyatt-lekoueiry/profil/spieler/970137,Second Striker,19,Mauritania,,,10,0,1,1,€1.00m
Daniel Lajud,https://www.transfermarkt.com/daniel-lajud/profil/spieler/570560,Second Striker,25,"Lebanon, Spain",,,18,0,1,1,€700k
Emanuele Scipioni,https://www.transfermarkt.com/emanuele-scipioni/profil/spieler/814350,Second Striker,20,Italy,,,26,0,1,1,€225k
Mohamed Soumaré,https://www.transfermarkt.com/mohamed-soumare/profil/spieler/177864,Second Striker,28,"Belgium, Guinea",,,19,0,1,1,€200k
Nicola Anelli,https://www.transfermarkt.com/nicola-anelli/profil/spieler/821124,Second Striker,19,Italy,,,25,0,1,1,€150k
Gabriele Pessolani,https://www.transfermarkt.com/gabriele-pessolani/profil/spieler/1063011,Second Striker,18,Italy,,,22,0,1,1,€150k
Ali Houary,https://www.transfermarkt.com/ali-houary/profil/spieler/1064538,Second Striker,18,"Morocco, Spain",,,2,0,1,1,€150k
Dani Hernández,https://www.transfermarkt.com/dani-hernandez/profil/spieler/175906,Second Striker,32,Spain,,,9,0,1,1,€50k
Lamine Yamal,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,Right Winger,16,"Spain, Equatorial Guinea",,,42,13,21,34,€200.00m
Michael Olise,https://www.transfermarkt.com/michael-olise/profil/spieler/566723,Right Winger,22,"France, England",,,36,12,19,31,€100.00m
Mason Greenwood,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,Right Winger,22,England,,,36,22,6,28,€40.00m
Kwame Poku,https://www.transfermarkt.com/kwame-poku/profil/spieler/701062,Right Winger,22,"Ghana, England",,,29,12,10,22,€1.00m
Désiré Doué,https://www.transfermarkt.com/desire-doue/profil/spieler/914562,Right Winger,19,"France, Cote d'Ivoire",,,38,10,12,22,€90.00m
Oliver Antman,https://www.transfermarkt.com/oliver-antman/profil/spieler/527896,Right Winger,22,Finland,,,36,6,16,22,€6.00m
Yaroslav Gladyshev,https://www.transfermarkt.com/yaroslav-gladyshev/profil/spieler/673114,Right Winger,21,Russia,,,39,13,8,21,€4.00m
Byron Burgering,https://www.transfermarkt.com/byron-burgering/profil/spieler/692771,Right Winger,23,Netherlands,,,39,10,11,21,€650k
Yunus Akgün,https://www.transfermarkt.com/yunus-akgun/profil/spieler/396908,Right Winger,23,Türkiye,,,36,7,14,21,€14.00m
Mehmet Manış,https://www.transfermarkt.com/mehmet-manis/profil/spieler/499221,Right Winger,23,"Türkiye, Switzerland",,,34,3,18,21,€200k
Derensili Sanches Fernandes,https://www.transfermarkt.com/derensili-sanches-fernandes/profil/spieler/608407,Right Winger,23,Netherlands,,,37,11,9,20,€600k
Jaden Slory,https://www.transfermarkt.com/jaden-slory/profil/spieler/727480,Right Winger,19,"Netherlands, Suriname",,,34,10,10,20,€1.00m
Jarne Steuckers,https://www.transfermarkt.com/jarne-steuckers/profil/spieler/707159,Right Winger,22,Belgium,,,35,9,11,20,€11.00m
Rayan Cherki,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223,Right Winger,20,"France, Algeria",,,32,8,12,20,€45.00m
Remco Balk,https://www.transfermarkt.com/remco-balk/profil/spieler/412940,Right Winger,23,Netherlands,,,39,16,3,19,€700k
Brennan Johnson,https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607,Right Winger,23,"Wales, England",,,38,13,6,19,€40.00m
Rayan Philippe,https://www.transfermarkt.com/rayan-philippe/profil/spieler/694507,Right Winger,23,France,,,35,13,6,19,€3.50m
Oldrich Pragr,https://www.transfermarkt.com/oldrich-pragr/profil/spieler/816884,Right Winger,21,Czech Republic,,,34,12,7,19,-
Jalen Hawkins,https://www.transfermarkt.com/jalen-hawkins/profil/spieler/433091,Right Winger,23,"Germany, United States",,,39,11,7,18,€500k
Amad Diallo,https://www.transfermarkt.com/amad-diallo/profil/spieler/536835,Right Winger,21,"Cote d'Ivoire, Italy",,,32,9,9,18,€45.00m
Carlos Álvarez,https://www.transfermarkt.com/carlos-alvarez/profil/spieler/668179,Right Winger,20,Spain,,,43,7,11,18,€6.00m
Bukayo Saka,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177,Right Winger,22,"England, Nigeria",,,28,6,12,18,€150.00m
Anthony Elanga,https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189,Right Winger,22,"Sweden, Cameroon",,,43,6,12,18,€42.00m
Yassine Benhattab,https://www.transfermarkt.com/yassine-benhattab/profil/spieler/796589,Right Winger,21,"France, Algeria",,,30,7,10,17,€900k
Florian Haxha,https://www.transfermarkt.com/florian-haxha/profil/spieler/587660,Right Winger,22,"Kosovo, Germany",,,30,5,12,17,€300k
Tai Abed,https://www.transfermarkt.com/tai-abed/profil/spieler/921345,Right Winger,19,"Israel, Spain",,,34,14,2,16,€750k
Manu Pozo,https://www.transfermarkt.com/manu-pozo/profil/spieler/635881,Right Winger,22,Spain,,,36,12,4,16,€1.10m
Lamine Cissé,https://www.transfermarkt.com/lamine-cisse/profil/spieler/627362,Right Winger,21,"France, Guinea",,,34,11,5,16,€2.50m
Mustafa Özköroğlu,https://www.transfermarkt.com/mustafa-ozkoroglu/profil/spieler/1052395,Right Winger,21,Türkiye,,,33,11,5,16,€150k
Victor Valverde,https://www.transfermarkt.com/victor-valverde/profil/spieler/707608,Right Winger,22,"Spain, Brazil",,,36,10,6,16,€400k
Polat Yaldır,https://www.transfermarkt.com/polat-yaldir/profil/spieler/852616,Right Winger,21,Türkiye,,,35,9,7,16,€175k
Rodrygo,https://www.transfermarkt.com/rodrygo/profil/spieler/412363,Right Winger,23,"Brazil, Spain",,,37,8,8,16,€90.00m
Miliano Jonathans,https://www.transfermarkt.com/miliano-jonathans/profil/spieler/723008,Right Winger,20,Netherlands,,,31,11,4,15,€900k
Nico Maier,https://www.transfermarkt.com/nico-maier/profil/spieler/346904,Right Winger,23,Switzerland,,,34,11,4,15,€400k
Arantis Roep,https://www.transfermarkt.com/arantis-roep/profil/spieler/730817,Right Winger,23,Netherlands,,,32,10,5,15,-
Dan Ndoye,https://www.transfermarkt.com/dan-ndoye/profil/spieler/365108,Right Winger,23,"Switzerland, Senegal",,,33,9,6,15,€35.00m
