name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Jhon Córdoba,https://www.transfermarkt.com/jhon-cordoba/profil/spieler/185245,Centre-Forward,31,Colombia,,,30,13,7,20,€12.00m
Salvatore Caturano,https://www.transfermarkt.com/salvatore-caturano/profil/spieler/56898,Centre-Forward,33,Italy,,,31,18,1,19,€300k
Mame Thiam,https://www.transfermarkt.com/mame-thiam/profil/spieler/163053,Centre-Forward,31,"Senegal, Italy",,,35,16,3,19,€1.70m
Hicham Benkaid,https://www.transfermarkt.com/hicham-benkaid/profil/spieler/415856,Centre-Forward,34,"France, Morocco",,,28,16,3,19,-
Olarenwaju Kayode,https://www.transfermarkt.com/olarenwaju-kayode/profil/spieler/131694,Centre-Forward,31,Nigeria,,,35,14,5,19,€375k
Roman Hasa,https://www.transfermarkt.com/roman-hasa/profil/spieler/265919,Centre-Forward,31,Czech Republic,,,32,13,6,19,-
Alassane Pléa,https://www.transfermarkt.com/alassane-plea/profil/spieler/167329,Centre-Forward,31,"France, Mali",,,32,12,7,19,€5.00m
Gianmario Comi,https://www.transfermarkt.com/gianmario-comi/profil/spieler/130324,Centre-Forward,32,Italy,,,35,17,1,18,€225k
Pietro Iemmello,https://www.transfermarkt.com/pietro-iemmello/profil/spieler/62735,Centre-Forward,32,Italy,,,36,16,2,18,€900k
Ronivaldo,https://www.transfermarkt.com/ronivaldo/profil/spieler/256167,Centre-Forward,35,"Austria, Brazil",,,34,16,2,18,€350k
Lennart Mertens,https://www.transfermarkt.com/lennart-mertens/profil/spieler/435868,Centre-Forward,31,Belgium,,,28,16,2,18,€300k
Jelle Vossen,https://www.transfermarkt.com/jelle-vossen/profil/spieler/42748,Centre-Forward,35,Belgium,,,27,16,2,18,€250k
Oussama Abdeldjelil,https://www.transfermarkt.com/oussama-abdeldjelil/profil/spieler/353468,Centre-Forward,31,"Algeria, France",,,31,16,2,18,-
Anthony van den Hurk,https://www.transfermarkt.com/anthony-van-den-hurk/profil/spieler/226100,Centre-Forward,31,"Curacao, Netherlands",,,35,15,3,18,€250k
Edin Džeko,https://www.transfermarkt.com/edin-dzeko/profil/spieler/28396,Centre-Forward,38,Bosnia-Herzegovina,,,37,14,4,18,€1.60m
Manuel Fischnaller,https://www.transfermarkt.com/manuel-fischnaller/profil/spieler/102379,Centre-Forward,32,Italy,,,39,14,4,18,€300k
Ersel Aslıyüksek,https://www.transfermarkt.com/ersel-asliyuksek/profil/spieler/210369,Centre-Forward,31,Türkiye,,,29,17,0,17,€200k
Alexandre Lacazette,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720,Centre-Forward,33,"France, Guadeloupe",,,32,15,2,17,€6.00m
Cosimo Patierno,https://www.transfermarkt.com/cosimo-patierno/profil/spieler/283352,Centre-Forward,33,Italy,,,30,15,2,17,€275k
Tomas Matejka,https://www.transfermarkt.com/tomas-matejka/profil/spieler/63795,Centre-Forward,36,Czech Republic,,,31,15,2,17,-
Raúl Jiménez,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040,Centre-Forward,33,Mexico,,,43,14,3,17,€5.00m
Gianni Bruno,https://www.transfermarkt.com/gianni-bruno/profil/spieler/95604,Centre-Forward,32,"Belgium, Italy",,,31,14,3,17,€350k
Eren Tozlu,https://www.transfermarkt.com/eren-tozlu/profil/spieler/136212,Centre-Forward,33,Türkiye,,,35,14,3,17,€100k
Nuno Da Costa,https://www.transfermarkt.com/nuno-da-costa/profil/spieler/306166,Centre-Forward,33,"Cape Verde, France",,,29,13,4,17,€600k
Simone Guerra,https://www.transfermarkt.com/simone-guerra/profil/spieler/76110,Centre-Forward,34,Italy,,,28,12,5,17,€200k
Marcel Bär,https://www.transfermarkt.com/marcel-bar/profil/spieler/154853,Centre-Forward,32,Germany,,,28,11,6,17,€250k
Artem Dzyuba,https://www.transfermarkt.com/artem-dzyuba/profil/spieler/48067,Centre-Forward,35,Russia,,,24,10,7,17,€1.50m
Merabi Uridia,https://www.transfermarkt.com/merabi-uridia/profil/spieler/114022,Centre-Forward,31,"Russia, Georgia",,,35,7,10,17,€500k
Samuel Di Carmine,https://www.transfermarkt.com/samuel-di-carmine/profil/spieler/45389,Centre-Forward,35,Italy,,,33,14,2,16,€300k
Thomas Hirschhofer,https://www.transfermarkt.com/thomas-hirschhofer/profil/spieler/155288,Centre-Forward,32,Austria,,,16,14,2,16,-
Álvaro Morata,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223,Centre-Forward,31,Spain,,,33,12,4,16,€11.00m
José Luis Morales,https://www.transfermarkt.com/jose-luis-morales/profil/spieler/252677,Centre-Forward,36,Spain,,,43,12,4,16,€500k
Léo Baptistão,https://www.transfermarkt.com/leo-baptistao/profil/spieler/221899,Centre-Forward,31,"Brazil, Spain",,,39,11,5,16,€1.00m
Kike García,https://www.transfermarkt.com/kike-garcia/profil/spieler/93936,Centre-Forward,34,Spain,,,36,15,0,15,€900k
Danny Welbeck,https://www.transfermarkt.com/danny-welbeck/profil/spieler/67063,Centre-Forward,33,"England, Ghana",,,36,11,4,15,€5.00m
Iago Aspas,https://www.transfermarkt.com/iago-aspas/profil/spieler/72047,Centre-Forward,36,Spain,,,31,10,5,15,€2.00m
Matej Vydra,https://www.transfermarkt.com/matej-vydra/profil/spieler/101500,Centre-Forward,32,Czech Republic,,,30,9,6,15,€800k
Jakub Mares,https://www.transfermarkt.com/jakub-mares/profil/spieler/35577,Centre-Forward,37,Czech Republic,,,28,3,12,15,-
Fabian Wimmleitner,https://www.transfermarkt.com/fabian-wimmleitner/profil/spieler/276384,Centre-Forward,32,Austria,,,28,14,0,14,-
Josh Magennis,https://www.transfermarkt.com/josh-magennis/profil/spieler/63223,Centre-Forward,33,Northern Ireland,,,45,12,2,14,€100k
Borja Iglesias,https://www.transfermarkt.com/borja-iglesias/profil/spieler/278359,Centre-Forward,31,Spain,,,39,11,3,14,€3.00m
Sven Braken,https://www.transfermarkt.com/sven-braken/profil/spieler/185400,Centre-Forward,31,Netherlands,,,36,11,3,14,€250k
Cassiano,https://www.transfermarkt.com/cassiano/profil/spieler/238367,Centre-Forward,35,Brazil,,,29,11,3,14,€200k
Jamie Vardy,https://www.transfermarkt.com/jamie-vardy/profil/spieler/197838,Centre-Forward,37,England,,,36,10,4,14,€1.00m
Nahki Wells,https://www.transfermarkt.com/nahki-wells/profil/spieler/173483,Centre-Forward,34,Bermuda,,,41,10,4,14,€300k
Piotr Parzyszek,https://www.transfermarkt.com/piotr-parzyszek/profil/spieler/155202,Centre-Forward,30,"Poland, Netherlands",,,31,9,5,14,€400k
Michael Smith,https://www.transfermarkt.com/michael-smith/profil/spieler/96173,Centre-Forward,32,England,,,44,8,6,14,€250k
Raphael Odogwu,https://www.transfermarkt.com/raphael-odogwu/profil/spieler/307335,Centre-Forward,33,"Italy, Nigeria",,,38,5,9,14,€350k
Hakan Gökcek,https://www.transfermarkt.com/hakan-gokcek/profil/spieler/190528,Centre-Forward,31,Austria,,,31,13,0,13,-
John Marquis,https://www.transfermarkt.com/john-marquis/profil/spieler/130395,Centre-Forward,32,England,,,42,12,1,13,€100k
Nenad Vidackovic,https://www.transfermarkt.com/nenad-vidackovic/profil/spieler/194702,Centre-Forward,32,"Austria, Serbia",,,30,12,1,13,-
Cristhian Stuani,https://www.transfermarkt.com/cristhian-stuani/profil/spieler/59323,Centre-Forward,37,"Uruguay, Italy",,,33,11,2,13,€1.00m
Simone Corazza,https://www.transfermarkt.com/simone-corazza/profil/spieler/155036,Centre-Forward,33,Italy,,,35,11,2,13,€300k
Rob van der Leij,https://www.transfermarkt.com/rob-van-der-leij/profil/spieler/328215,Centre-Forward,32,Netherlands,,,26,11,2,13,-
Adriano Grimaldi,https://www.transfermarkt.com/adriano-grimaldi/profil/spieler/69392,Centre-Forward,33,"Germany, Italy",,,31,10,3,13,€350k
Jan Bednar,https://www.transfermarkt.com/jan-bednar/profil/spieler/1061415,Centre-Forward,31,Czech Republic,,,34,10,3,13,-
Kai Brünker,https://www.transfermarkt.com/kai-brunker/profil/spieler/284058,Centre-Forward,30,Germany,,,28,9,4,13,€350k
Gaëtan Courtet,https://www.transfermarkt.com/gaetan-courtet/profil/spieler/171408,Centre-Forward,35,France,,,39,7,6,13,€200k
Dominik Rotter,https://www.transfermarkt.com/dominik-rotter/profil/spieler/88944,Centre-Forward,33,Austria,,,31,12,0,12,-
Roberto Inglese,https://www.transfermarkt.com/roberto-inglese/profil/spieler/159337,Centre-Forward,32,Italy,,,27,11,1,12,€250k
Rodrigo Escudero,https://www.transfermarkt.com/rodrigo-escudero/profil/spieler/446188,Centre-Forward,30,Spain,,,33,11,1,12,€250k
Martin Holek,https://www.transfermarkt.com/martin-holek/profil/spieler/180549,Centre-Forward,35,Czech Republic,,,32,11,1,12,-
Wout Weghorst,https://www.transfermarkt.com/wout-weghorst/profil/spieler/228645,Centre-Forward,31,Netherlands,,,28,10,2,12,€4.00m
Oleksandr Filippov,https://www.transfermarkt.com/oleksandr-filippov/profil/spieler/237623,Centre-Forward,31,Ukraine,,,28,10,2,12,€500k
Leonardo Mancuso,https://www.transfermarkt.com/leonardo-mancuso/profil/spieler/160344,Centre-Forward,32,Italy,,,40,10,2,12,€450k
Alex Schalk,https://www.transfermarkt.com/alex-schalk/profil/spieler/186228,Centre-Forward,31,Netherlands,,,24,10,2,12,€325k
Yusuf,https://www.transfermarkt.com/yusuf/profil/spieler/351181,Centre-Forward,31,Bahrain,,,28,9,3,12,€400k
Aleksey Skvortsov,https://www.transfermarkt.com/aleksey-skvortsov/profil/spieler/220671,Centre-Forward,32,Russia,,,34,9,3,12,€125k
Duckens Nazon,https://www.transfermarkt.com/duckens-nazon/profil/spieler/345763,Centre-Forward,30,"Haiti, France",,,33,8,4,12,€1.20m
Pylyp Budkivskyi,https://www.transfermarkt.com/pylyp-budkivskyi/profil/spieler/99863,Centre-Forward,32,Ukraine,,,27,8,4,12,€350k
Vasyl Tsyutsyura,https://www.transfermarkt.com/vasyl-tsyutsyura/profil/spieler/321275,Centre-Forward,30,Ukraine,,,23,8,4,12,€150k
Anton Zabolotnyi,https://www.transfermarkt.com/anton-zabolotnyi/profil/spieler/70114,Centre-Forward,33,Russia,,,31,6,6,12,€700k
Jakub Rolinc,https://www.transfermarkt.com/jakub-rolinc/profil/spieler/159798,Centre-Forward,32,Czech Republic,,,27,6,6,12,-
Robert Glatzel,https://www.transfermarkt.com/robert-glatzel/profil/spieler/196139,Centre-Forward,30,"Germany, Eritrea",,,16,11,0,11,€3.00m
Mirco Antenucci,https://www.transfermarkt.com/mirco-antenucci/profil/spieler/83458,Centre-Forward,39,Italy,,,37,11,0,11,-
Rene Prantl,https://www.transfermarkt.com/rene-prantl/profil/spieler/154443,Centre-Forward,34,Austria,,,28,11,0,11,-
Dylan De Belder,https://www.transfermarkt.com/dylan-de-belder/profil/spieler/191949,Centre-Forward,32,Belgium,,,20,11,0,11,-
Jürgen Locadia,https://www.transfermarkt.com/jurgen-locadia/profil/spieler/166240,Centre-Forward,30,"Curacao, Netherlands",,,24,10,1,11,€200k
Roberto,https://www.transfermarkt.com/roberto/profil/spieler/194330,Centre-Forward,35,Portugal,,,32,10,1,11,€100k
Higinio Marín,https://www.transfermarkt.com/higinio-marin/profil/spieler/242882,Centre-Forward,30,Spain,,,22,9,2,11,€800k
Khouma Babacar,https://www.transfermarkt.com/khouma-babacar/profil/spieler/124902,Centre-Forward,31,"Senegal, Italy",,,25,9,2,11,€150k
Malik Tchokounté,https://www.transfermarkt.com/malik-tchokounte/profil/spieler/412085,Centre-Forward,35,"France, Cameroon",,,34,9,2,11,€150k
Massimo Coda,https://www.transfermarkt.com/massimo-coda/profil/spieler/33763,Centre-Forward,35,Italy,,,35,8,3,11,€500k
Pascal Testroet,https://www.transfermarkt.com/pascal-testroet/profil/spieler/53521,Centre-Forward,33,Germany,,,29,8,3,11,€225k
Tomas Poznar,https://www.transfermarkt.com/tomas-poznar/profil/spieler/81979,Centre-Forward,35,Czech Republic,,,31,8,3,11,€50k
Yordy Reyna,https://www.transfermarkt.com/yordy-reyna/profil/spieler/200779,Centre-Forward,30,Peru,,,29,7,4,11,€400k
Fabian Schleusener,https://www.transfermarkt.com/fabian-schleusener/profil/spieler/229176,Centre-Forward,32,Germany,,,33,7,4,11,€400k
Dmitriy Barkov,https://www.transfermarkt.com/dmitriy-barkov/profil/spieler/182403,Centre-Forward,32,Russia,,,24,7,4,11,-
Danzell Gravenberch,https://www.transfermarkt.com/danzell-gravenberch/profil/spieler/186282,Centre-Forward,30,"Suriname, Netherlands",,,37,6,5,11,€250k
Cheikne Sylla,https://www.transfermarkt.com/cheikne-sylla/profil/spieler/809132,Centre-Forward,30,Mali,,,15,6,5,11,€200k
Darijo Pecirep,https://www.transfermarkt.com/darijo-pecirep/profil/spieler/155596,Centre-Forward,32,Croatia,,,28,5,6,11,€150k
James Collins,https://www.transfermarkt.com/james-collins/profil/spieler/62640,Centre-Forward,33,"Ireland, England",,,40,10,0,10,€125k
Lee Gregory,https://www.transfermarkt.com/lee-gregory/profil/spieler/208428,Centre-Forward,35,England,,,22,10,0,10,€100k
Sam Valcke,https://www.transfermarkt.com/sam-valcke/profil/spieler/323963,Centre-Forward,31,Belgium,,,25,10,0,10,-
Francesco Grandolfo,https://www.transfermarkt.com/francesco-grandolfo/profil/spieler/138295,Centre-Forward,31,Italy,,,29,9,1,10,€250k
Michy Batshuayi,https://www.transfermarkt.com/michy-batshuayi/profil/spieler/179184,Centre-Forward,30,"Belgium, DR Congo",,,30,8,2,10,€4.00m
Vincent Aboubakar,https://www.transfermarkt.com/vincent-aboubakar/profil/spieler/147487,Centre-Forward,32,Cameroon,,,28,8,2,10,€1.20m
Umut Nayir,https://www.transfermarkt.com/umut-nayir/profil/spieler/248271,Centre-Forward,31,Türkiye,,,39,8,2,10,€700k
Florian Niederlechner,https://www.transfermarkt.com/florian-niederlechner/profil/spieler/152963,Centre-Forward,33,Germany,,,31,8,2,10,€400k
Borja Valle,https://www.transfermarkt.com/borja-valle/profil/spieler/176067,Centre-Forward,31,Spain,,,37,8,2,10,€300k
Martin Voracek,https://www.transfermarkt.com/martin-voracek/profil/spieler/196294,Centre-Forward,31,Czech Republic,,,30,8,2,10,-
Ui-jo Hwang,https://www.transfermarkt.com/ui-jo-hwang/profil/spieler/260166,Centre-Forward,31,"Korea, South",,,33,7,3,10,€700k
Dioni,https://www.transfermarkt.com/dioni/profil/spieler/164402,Centre-Forward,34,Spain,,,39,7,3,10,€250k
Thuram,https://www.transfermarkt.com/thuram/profil/spieler/258618,Centre-Forward,33,Brazil,,,35,7,3,10,€100k
Rui Fonte,https://www.transfermarkt.com/rui-fonte/profil/spieler/9335,Centre-Forward,34,Portugal,,,33,7,3,10,-
Joshua King,https://www.transfermarkt.com/joshua-king/profil/spieler/91059,Centre-Forward,32,Norway,,,30,6,4,10,€1.80m
Branimir Hrgota,https://www.transfermarkt.com/branimir-hrgota/profil/spieler/171209,Centre-Forward,31,"Sweden, Croatia",,,35,6,4,10,€800k
Yacine Bammou,https://www.transfermarkt.com/yacine-bammou/profil/spieler/276255,Centre-Forward,32,"Morocco, France",,,34,6,4,10,€250k
Marco Djuricin,https://www.transfermarkt.com/marco-djuricin/profil/spieler/92989,Centre-Forward,31,Austria,,,12,6,4,10,€150k
Davis Mensah,https://www.transfermarkt.com/davis-mensah/profil/spieler/307334,Centre-Forward,32,"Italy, Ghana",,,37,2,8,10,€175k
Juanto Ortuño,https://www.transfermarkt.com/juanto-ortuno/profil/spieler/213875,Centre-Forward,32,Spain,,,37,9,0,9,€350k
Caye Quintana,https://www.transfermarkt.com/caye-quintana/profil/spieler/238471,Centre-Forward,30,Spain,,,33,9,0,9,€150k
Roman Ferber,https://www.transfermarkt.com/roman-ferber/profil/spieler/337689,Centre-Forward,31,Belgium,,,22,9,0,9,-
Kenan Kodro,https://www.transfermarkt.com/kenan-kodro/profil/spieler/197126,Centre-Forward,30,"Bosnia-Herzegovina, Spain",,,32,8,1,9,€800k
Ognjen Ozegovic,https://www.transfermarkt.com/ognjen-ozegovic/profil/spieler/144304,Centre-Forward,30,"Serbia, Bosnia-Herzegovina",,,29,8,1,9,€500k
Ricky van Wolfswinkel,https://www.transfermarkt.com/ricky-van-wolfswinkel/profil/spieler/41355,Centre-Forward,35,Netherlands,,,28,8,1,9,€400k
Jacopo Murano,https://www.transfermarkt.com/jacopo-murano/profil/spieler/164164,Centre-Forward,34,Italy,,,31,8,1,9,€250k
Armand Gnanduillet,https://www.transfermarkt.com/armand-gnanduillet/profil/spieler/194533,Centre-Forward,32,"Cote d'Ivoire, France",,,21,8,1,9,€150k
Khalid Boutaïb,https://www.transfermarkt.com/khalid-boutaib/profil/spieler/231941,Centre-Forward,37,"Morocco, France",,,30,8,1,9,€150k
Steven Fletcher,https://www.transfermarkt.com/steven-fletcher/profil/spieler/35099,Centre-Forward,37,"Scotland, England",,,41,8,1,9,€50k
Vedat Muriqi,https://www.transfermarkt.com/vedat-muriqi/profil/spieler/256267,Centre-Forward,30,"Kosovo, Albania",,,31,7,2,9,€5.00m
Luca Schnellbacher,https://www.transfermarkt.com/luca-schnellbacher/profil/spieler/229991,Centre-Forward,30,Germany,,,31,7,2,9,€600k
Riad Bajic,https://www.transfermarkt.com/riad-bajic/profil/spieler/263267,Centre-Forward,30,Bosnia-Herzegovina,,,35,7,2,9,€450k
Petros Giakoumakis,https://www.transfermarkt.com/petros-giakoumakis/profil/spieler/332802,Centre-Forward,31,Greece,,,11,7,2,9,€225k
Jan Chramosta,https://www.transfermarkt.com/jan-chramosta/profil/spieler/95792,Centre-Forward,33,Czech Republic,,,24,7,2,9,€175k
Roman Debelko,https://www.transfermarkt.com/roman-debelko/profil/spieler/262182,Centre-Forward,30,Ukraine,,,22,7,2,9,-
Simy,https://www.transfermarkt.com/simy/profil/spieler/194549,Centre-Forward,32,Nigeria,,,25,6,3,9,€400k
Pito Camacho,https://www.transfermarkt.com/pito-camacho/profil/spieler/350001,Centre-Forward,34,Spain,,,27,6,3,9,€100k
Martin Jindracek,https://www.transfermarkt.com/martin-jindracek/profil/spieler/88752,Centre-Forward,34,Czech Republic,,,16,6,3,9,-
Dennis Srbeny,https://www.transfermarkt.com/dennis-srbeny/profil/spieler/159239,Centre-Forward,30,Germany,,,35,5,4,9,€550k
Chris Martin,https://www.transfermarkt.com/chris-martin/profil/spieler/46154,Centre-Forward,35,"Scotland, England",,,26,5,4,9,€75k
Maksym Marusych,https://www.transfermarkt.com/maksym-marusych/profil/spieler/325386,Centre-Forward,30,Ukraine,,,24,4,5,9,€200k
Kevin Friesenbichler,https://www.transfermarkt.com/kevin-friesenbichler/profil/spieler/106848,Centre-Forward,30,Austria,,,25,4,5,9,-
Giacomo Beretta,https://www.transfermarkt.com/giacomo-beretta/profil/spieler/91241,Centre-Forward,32,Italy,,,28,8,0,8,€100k
Nico Binst,https://www.transfermarkt.com/nico-binst/profil/spieler/221938,Centre-Forward,32,Belgium,,,30,8,0,8,-
Kevin Lasagna,https://www.transfermarkt.com/kevin-lasagna/profil/spieler/131951,Centre-Forward,31,Italy,,,35,7,1,8,€750k
Gedeon Guzina,https://www.transfermarkt.com/gedeon-guzina/profil/spieler/447462,Centre-Forward,30,"Bosnia-Herzegovina, Serbia",,,13,7,1,8,€400k
Kacper Przybylko,https://www.transfermarkt.com/kacper-przybylko/profil/spieler/86030,Centre-Forward,31,"Poland, Germany",,,25,7,1,8,€300k
Nicolas de Préville,https://www.transfermarkt.com/nicolas-de-preville/profil/spieler/122116,Centre-Forward,33,France,,,20,7,1,8,€150k
Rafael Martins,https://www.transfermarkt.com/rafael-martins/profil/spieler/99499,Centre-Forward,35,Brazil,,,27,7,1,8,€50k
Libor Kozák,https://www.transfermarkt.com/libor-kozak/profil/spieler/63824,Centre-Forward,35,Czech Republic,,,27,7,1,8,-
Vojtech Hadascok,https://www.transfermarkt.com/vojtech-hadascok/profil/spieler/178519,Centre-Forward,32,Czech Republic,,,24,7,1,8,-
Marko Arnautovic,https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384,Centre-Forward,35,"Austria, Serbia",,,21,6,2,8,€3.00m
João Pedro,https://www.transfermarkt.com/joao-pedro/profil/spieler/129129,Centre-Forward,32,"Italy, Brazil",,,36,6,2,8,€1.80m
Stéphane Bahoken,https://www.transfermarkt.com/stephane-bahoken/profil/spieler/170953,Centre-Forward,32,"Cameroon, France",,,22,6,2,8,€475k
Francesco Nicastro,https://www.transfermarkt.com/francesco-nicastro/profil/spieler/130498,Centre-Forward,32,Italy,,,34,6,2,8,€300k
Ruslan Stepanyuk,https://www.transfermarkt.com/ruslan-stepanyuk/profil/spieler/222079,Centre-Forward,32,Ukraine,,,31,6,2,8,€250k
